election,year,winner,party,electoral_college_pts,electoral_college_total,percent_electoral_college,%,percent_popular_vote,percent_popular_vote_margin,total_votes,total_margin,runner_up,party,turnout,re-election_try
1,1788,George Washington,Ind.,69,69,1,100.00%,1,1,43782,"43,782",No candidate,None[Note 1],0.116,N
2,1792,George Washington,Ind.,132,132,1,100.00%,1,1,28579,"28,579",No candidate,None[Note 1],0.063,Y
3,1796,John Adams,Fed.,71,138,0.5145,51.45%,0.5345,0.069,35726,"4,611",Thomas Jefferson,D.-R.[Note 2],0.201,N
4,1800,Thomas Jefferson,D.-R.,73,138,0.529,52.90%,0.6143,0.2286,41330,"15,378",Aaron Burr,D.-R.[Note 3],0.323,N
5,1804,Thomas Jefferson,D.-R.,162,176,0.9205,92.05%,0.7279,0.4558,104110,"65,191",Charles C. Pinckney,Fed.,0.238,Y
6,1808,James Madison,D.-R.,122,175,0.6971,69.72%,0.6473,0.3233,124732,"62,301",Charles C. Pinckney,Fed.,0.368,N
7,1812,James Madison,D.-R.,128,217,0.5899,58.99%,0.5037,0.0274,140431,"7,650",DeWitt Clinton,D.-R.[Note 4],0.404,Y
8,1816,James Monroe,D.-R.,183,217,0.8433,84.33%,0.6816,0.3724,76592,"41,852",Rufus King,Fed.,0.235,N
9,1820,James Monroe,D.-R.,231,232,0.9957,99.57%,0.8061,0.6469,87343,"69,878",John Quincy Adams,D.-R.[Note 5],0.101,Y
10,1824,John Quincy Adams,D.-R.,84,261,0.3218,32.18%,0.3092,-0.1044,113142,"−38,221",Andrew Jackson,D.-R.[Note 6],0.269,N
11,1828,Andrew Jackson,Dem.,178,261,0.682,68.20%,0.5593,0.1225,642806,"140,839",John Quincy Adams,N. R.,0.573,Y
12,1832,Andrew Jackson,Dem.,219,286,0.7657,76.57%,0.5474,0.1781,702735,"228,628",Henry Clay,N. R.,0.57,N
13,1836,Martin Van Buren,Dem.,170,294,0.5782,57.82%,0.5079,0.142,763291,"213,384",William Henry Harrison,Whig,0.565,Y
14,1840,William Henry Harrison,Whig,234,294,0.7959,79.59%,0.5287,0.0605,1275583,"145,938",Martin Van Buren,Dem.,0.803,N
15,1844,James Polk,Dem.,170,275,0.6182,61.82%,0.4954,0.0145,1339570,"39,413",Henry Clay,Whig,0.792,N
16,1848,Zachary Taylor,Whig,163,290,0.5621,56.21%,0.4728,0.0479,1360235,"137,882",Lewis Cass,Dem.,0.728,N
17,1852,Franklin Pierce,Dem.,254,296,0.8581,85.81%,0.5083,0.0695,1605943,"219,525",Winfield Scott,Whig,0.695,N
18,1856,James Buchanan,Dem.,174,296,0.5878,58.78%,0.4529,0.122,1835140,"494,472",John Frémont,Rep.,0.794,
19,1860,Abraham Lincoln,Rep.,180,303,0.5941,59.41%,0.3965,0.1013,1855993,"474,049",John Breckinridge,Dem.[Note 7],0.818,N
20,1864,Abraham Lincoln,Rep.,212,233,0.9099,90.99%,0.5503,0.1008,2211317,"405,090",George McClellan,Dem.,0.763,Y
21,1868,Ulysses Grant,Rep.,214,294,0.7279,72.79%,0.5266,0.0532,3013790,"304,810",Horatio Seymour,Dem.,0.809,N
22,1872,Ulysses Grant,Rep.,286,352,0.8125,81.25%,0.5558,0.118,3597439,"763,729",Thomas Hendricks,Dem.[Note 8],0.721,Y
23,1876,Rutherford Hayes,Rep.,185,369,0.5014,50.14%,0.4792,-0.03,4034142,"−252,666",Samuel Tilden,Dem.,0.826,N
24,1880,James Garfield,Rep.,214,369,0.5799,57.99%,0.4831,0.0009,4453337,"1,898",Winfield Scott Hancock,Dem.,0.805,N
25,1884,Grover Cleveland,Dem.,219,401,0.5461,54.61%,0.4885,0.0057,4914482,"57,579",James Blaine,Rep.,0.782,N
26,1888,Benjamin Harrison,Rep.,233,401,0.581,58.10%,0.478,-0.0083,5443892,"−90,596",Grover Cleveland,Dem.,0.805,Y
27,1892,Grover Cleveland,Dem.,277,444,0.6239,62.39%,0.4602,0.0301,5553898,"363,099",Benjamin Harrison,Rep.,0.758,Y
28,1896,William McKinley,Rep.,271,447,0.6063,60.63%,0.5102,0.0431,7112138,"601,331",William Jennings Bryan,Dem.,0.796,N
29,1900,William McKinley,Rep.,292,447,0.6532,65.23%,0.5164,0.0612,7228864,"857,932",William Jennings Bryan,Dem.,0.737,Y
30,1904,Theodore Roosevelt,Rep.,336,476,0.7059,70.59%,0.5642,0.1883,7630557,"2,546,677",Alton Brooks Parker,Dem.,0.655,N
31,1908,William Taft,Rep.,321,483,0.6646,66.46%,0.5157,0.0853,7678335,"1,269,356",William Jennings Bryan,Dem.,0.657,N
32,1912,Woodrow Wilson,Dem.,435,531,0.8192,81.92%,0.4184,0.1444,6296284,"2,173,563",Theodore Roosevelt,Prog.,0.59,N
33,1916,Woodrow Wilson,Dem.,277,531,0.5217,52.17%,0.4924,0.0312,9126868,"578,140",Charles Evans Hughes,Rep.,0.618,Y
34,1920,Warren Harding,Rep.,404,531,0.7608,76.08%,0.6032,0.2617,16144093,"7,004,432",James Cox,Dem.,0.492,N
35,1924,Calvin Coolidge,Rep.,382,531,0.7194,71.94%,0.5404,0.2522,15723789,"7,337,547",John Davis,Dem.,0.489,N
36,1928,Herbert Hoover,Rep.,444,531,0.8362,83.62%,0.5821,0.1741,21427123,"6,411,659",Al Smith,Dem.,0.569,N
37,1932,Franklin Roosevelt,Dem.,472,531,0.8889,88.89%,0.5741,0.1776,22821277,"7,060,023",Herbert Hoover,Rep.,0.569,Y
38,1936,Franklin Roosevelt,Dem.,523,531,0.9849,98.49%,0.608,0.2426,27752648,"11,070,786",Alf Landon,Rep.,0.61,Y
39,1940,Franklin Roosevelt,Dem.,449,531,0.8456,84.56%,0.5474,0.0996,27313945,"4,966,201",Wendell Willkie,Rep.,0.624,Y
40,1944,Franklin Roosevelt,Dem.,432,531,0.8136,81.36%,0.5339,0.075,25612916,"3,594,987",Thomas Dewey,Rep.,0.559,Y
41,1948,Harry Truman,Dem.,303,531,0.5706,57.06%,0.4955,0.0448,24179347,"2,188,055",Thomas Dewey,Rep.,0.522,N
42,1952,Dwight Eisenhower,Rep.,442,531,0.8324,83.24%,0.5518,0.1085,34075529,"6,700,439",Adlai Stevenson,Dem.,0.623,N
43,1956,Dwight Eisenhower,Rep.,457,531,0.8606,86.06%,0.5737,0.154,35579180,"9,551,152",Adlai Stevenson,Dem.,0.602,Y
44,1960,John F. Kennedy,Dem.,303,537,0.5642,56.42%,0.4972,0.0017,34220984,"112,827",Richard Nixon,Rep.,0.638,N
45,1964,Lyndon Johnson,Dem.,486,538,0.9033,90.33%,0.6105,0.2258,43127041,"15,951,287",Barry Goldwater,Rep.,0.628,N
46,1968,Richard Nixon,Rep.,301,538,0.5595,55.95%,0.4342,0.007,31783783,"511,944",Hubert Humphrey,Dem.,0.625,N
47,1972,Richard Nixon,Rep.,520,538,0.9665,96.65%,0.6067,0.2315,47168710,"17,995,488",George McGovern,Dem.,0.562,Y
48,1976,Jimmy Carter,Dem.,297,538,0.552,55.20%,0.5008,0.0206,40831881,"1,683,247",Gerald Ford,Rep.,0.548,N
49,1980,Ronald Reagan,Rep.,489,538,0.9089,90.89%,0.5075,0.0974,43903230,"8,423,115",Jimmy Carter,Dem.,0.542,Y
50,1984,Ronald Reagan,Rep.,525,538,0.9758,97.58%,0.5877,0.1821,54455472,"16,878,120",Walter Mondale,Dem.,0.552,N
51,1988,George H. W. Bush,Rep.,426,538,0.7918,79.18%,0.5337,0.0772,48886597,"7,077,121",Michael Dukakis,Dem.,0.528,Y
52,1992,Bill Clinton,Dem.,370,538,0.6877,68.77%,0.4301,0.0556,44909806,"5,805,256",George H. W. Bush,Rep.,0.581,N
53,1996,Bill Clinton,Dem.,379,538,0.7045,70.45%,0.4923,0.0851,47400125,"8,201,370",Bob Dole,Rep.,0.517,Y
54,2000,George W. Bush,Rep.,271,538,0.5037,50.37%,0.4787,-0.0051,50460110,"−543,816",Al Gore,Dem.,0.542,N
55,2004,George W. Bush,Rep.,286,538,0.5316,53.16%,0.5073,0.0246,62040610,"3,012,171",John Kerry,Dem.,0.601,Y
56,2008,Barack Obama,Dem.,365,538,0.6784,67.84%,0.5293,0.0727,69498516,"9,550,193",John McCain,Rep.,0.616,N
57,2012,Barack Obama,Dem.,332,538,0.6171,61.71%,0.5106,0.0386,65915795,"4,982,291",Mitt Romney,Rep.,0.586,Y
58,2016,Donald Trump,Rep.,304,538,0.5651,56.50%,0.4609,-0.0209,62984828,"−2,868,686",Hillary Clinton,Dem.,0.602,N
60,2020,Donald Trump,Rep.,289,538,0.5372,,,,72267658,,Joe Biden,Dem.,,Y
